uniqueid,id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,RUL
12,1,12,35.0029,0.8413,60,449.44,555.85,1360.54,1130.69,5.48,8,195.05,2222.88,8341.87,1.02,41.87,183.41,2387.95,8063.79,9.2878,0.02,335,2223,100,14.69,8.7988,211
13,1,13,42.0029,0.8409,40,445,549.91,1350.9,1123.53,3.91,5.71,139.09,2211.78,8321.2,1.02,42.14,130.6,2387.88,8081.77,9.349,0.02,329,2212,100,10.46,6.3382,210
14,1,14,25.0073,0.6203,80,462.54,537.22,1262.8,1051.01,7.05,9.02,175.35,1915.24,8014.89,0.94,36.88,164.63,2028.14,7870.29,10.916,0.02,306,1915,84.93,14.28,8.5684,209
15,1,15,9.9988,0.25,20,489.05,604.63,1497.87,1302.51,10.52,15.5,394.93,2318.9,8771.08,1.26,45.39,371.84,2388.12,8124.37,8.6496,0.03,369,2319,100,28.84,17.0805,208
16,1,16,9.9987,0.25,20,489.05,604.61,1500.47,1311.39,10.52,15.49,394.44,2318.87,8775.86,1.26,45.52,372.19,2388.08,8127.07,8.6609,0.03,369,2319,100,28.71,17.1759,207
17,1,17,3.00E-04,0,100,518.67,642.3,1584.57,1410.11,14.62,21.61,554,2388.06,9056.59,1.3,47.44,522.17,2388.1,8133.38,8.434,0.03,392,2388,100,38.81,23.3487,206
18,1,18,10.0066,0.2507,20,489.05,604.23,1502.57,1304.56,10.52,15.49,394.31,2318.93,8778.55,1.26,45.1,372.03,2388.06,8119.39,8.6646,0.03,367,2319,100,28.6,17.1096,205
19,1,19,25.0018,0.62,80,462.54,536.66,1255.21,1053.69,7.05,9.03,174.94,1915.22,8005.22,0.94,36.44,165.27,2028.13,7868.8,10.8969,0.02,308,1915,84.93,14.42,8.5456,204
20,1,20,4.00E-04,0.0017,100,518.67,642.31,1581.33,1399.44,14.62,21.61,553.41,2388.09,9049.58,1.3,47.38,521.62,2388.06,8132.25,8.4044,0.03,393,2388,100,38.97,23.2494,203
21,1,21,42.003,0.8404,40,445,549.12,1349.16,1117.33,3.91,5.72,138.51,2211.82,8310.18,1.02,41.98,130.48,2387.9,8080.31,9.3488,0.02,330,2212,100,10.54,6.3614,202
22,1,22,4.00E-04,0,100,518.67,642.34,1589.25,1401.52,14.62,21.61,553.9,2388.12,9051.82,1.3,47.45,521.55,2388.06,8131.87,8.4423,0.03,392,2388,100,38.73,23.3303,201
23,1,23,20.0025,0.7011,0,491.19,607.1,1482.68,1252,9.35,13.66,334.49,2323.91,8716.75,1.08,44.44,314.87,2388.1,8050.94,9.2149,0.02,366,2324,100,24.58,14.6688,200
24,1,24,34.9987,0.84,60,449.44,555.19,1359.28,1131.95,5.48,8,193.97,2222.88,8351.92,1.02,41.86,183.36,2387.94,8063.93,9.3254,0.02,334,2223,100,14.96,8.8405,199
25,1,25,42.0066,0.8401,40,445,549.43,1355.26,1117.68,3.91,5.71,138.33,2211.89,8309.83,1.02,42.08,130.76,2387.84,8078.42,9.3525,0.02,330,2212,100,10.54,6.3772,198
26,1,26,3.00E-04,4.00E-04,100,518.67,642.9,1591.72,1409.43,14.62,21.61,553.65,2388.05,9046.5,1.3,47.34,521.87,2388.1,8129.74,8.4058,0.03,394,2388,100,38.89,23.3626,197
27,1,27,25.0031,0.6206,80,462.54,536.89,1267.93,1042.92,7.05,9.03,175.35,1915.28,7999.74,0.94,36.56,164.9,2028.16,7873.32,10.855,0.02,308,1915,84.93,14.21,8.6036,196
28,1,28,0.002,0,100,518.67,641.6,1590.43,1402.64,14.62,21.61,553.95,2388.07,9053.9,1.3,47.36,521.34,2388.1,8133.24,8.4311,0.03,392,2388,100,38.92,23.3587,195
29,1,29,25.0026,0.62,80,462.54,536.59,1256.53,1048.2,7.05,9.03,175.76,1915.25,8005.68,0.94,36.69,164.51,2028.14,7872.87,10.8747,0.02,308,1915,84.93,14.18,8.5572,194
30,1,30,42.0008,0.84,40,445,549.77,1350.63,1133.09,3.91,5.72,138.4,2211.83,8318.25,1.02,42.06,129.99,2387.91,8075.85,9.3897,0.02,332,2212,100,10.62,6.4269,193
31,1,31,20.0045,0.7006,0,491.19,607.38,1483.93,1256.88,9.35,13.66,334.3,2323.91,8715.5,1.08,44.33,314.94,2388.12,8059.58,9.2111,0.02,366,2324,100,24.48,14.7826,192
32,1,32,25.0013,0.6219,80,462.54,537.26,1259.83,1045,7.05,9.03,175.83,1915.24,8009.06,0.94,36.51,164.73,2028.11,7866.12,10.872,0.02,305,1915,84.93,14.29,8.5339,191
33,1,33,42.003,0.8413,40,445,548.93,1353.67,1121.32,3.91,5.71,138.59,2211.85,8309.86,1.02,42.08,130.94,2387.93,8078.78,9.3014,0.02,331,2212,100,10.65,6.3294,190
34,1,34,0.0019,0.0012,100,518.67,642.47,1584.87,1402.4,14.62,21.61,553.92,2388.08,9050.25,1.3,47.38,521.92,2388.1,8126.67,8.4461,0.03,393,2388,100,38.96,23.2884,189
35,1,35,25.0064,0.6201,80,462.54,536.97,1263.1,1045.53,7.05,9.02,175.06,1915.26,8012.58,0.94,36.82,165.36,2028.14,7868.51,10.8865,0.02,307,1915,84.93,14.24,8.5842,188
36,1,36,10.0024,0.2504,20,489.05,604.43,1499.85,1306.89,10.52,15.49,394.36,2318.94,8771.15,1.26,45.36,371.77,2388.11,8121.73,8.626,0.03,369,2319,100,28.52,17.1036,187
37,1,37,0.0027,0.0014,100,518.67,643.42,1588.85,1410.09,14.62,21.61,553.4,2388.08,9052.89,1.3,47.43,521.57,2388.07,8136,8.4264,0.03,392,2388,100,38.82,23.3826,186
38,1,38,9.9992,0.2519,20,489.05,604.8,1502.32,1304.65,10.52,15.49,395.42,2318.96,8775.77,1.26,45.4,371.75,2388.1,8128.62,8.6563,0.03,369,2319,100,28.55,17.2449,185
39,1,39,35.001,0.84,60,449.44,555.85,1370.11,1126.43,5.48,8,193.79,2222.88,8346.36,1.02,41.76,183.45,2387.95,8065.11,9.3512,0.02,333,2223,100,15,8.7529,184
40,1,40,25.0035,0.62,80,462.54,536.79,1255.04,1046.78,7.05,9.03,175.9,1915.26,8005.49,0.94,36.61,164.49,2028.17,7867.56,10.8652,0.02,306,1915,84.93,14.16,8.5143,183
41,1,41,35.0018,0.84,60,449.44,555.3,1359.77,1129.48,5.48,8,194.59,2222.89,8343.06,1.02,41.97,182.97,2387.98,8065.92,9.2991,0.02,334,2223,100,14.79,9.0533,182
42,1,42,42.0058,0.8411,40,445,549.34,1350.92,1121.13,3.91,5.71,138.8,2211.83,8312.03,1.02,42.01,130.29,2387.88,8081.73,9.4024,0.02,331,2212,100,10.51,6.3421,181
43,1,43,10.007,0.25,20,489.05,605.02,1497,1304.66,10.52,15.49,395.33,2318.92,8768.04,1.26,45.53,372.23,2388.11,8122.83,8.6653,0.03,371,2319,100,28.42,17.2044,180
44,1,44,42.0002,0.84,40,445,549.73,1354.22,1129.58,3.91,5.72,138.64,2211.79,8312.54,1.02,42.09,130.31,2387.9,8079.16,9.3938,0.02,331,2212,100,10.6,6.3165,179
45,1,45,20.0062,0.7,0,491.19,607.58,1477.33,1250.58,9.35,13.65,334.8,2323.91,8715.69,1.08,44.49,315.06,2388.09,8054.67,9.2541,0.02,364,2324,100,24.6,14.7028,178
46,1,46,9.9983,0.2507,20,489.05,604.44,1493.77,1312.86,10.52,15.5,394.79,2318.89,8775.4,1.26,45.57,371.32,2388.13,8127.29,8.6515,0.03,368,2319,100,28.25,17.137,177
47,1,47,25.0043,0.62,80,462.54,536.82,1259.41,1046.21,7.05,9.03,175.69,1915.26,8002.38,0.94,36.61,164.58,2028.1,7871.93,10.8797,0.02,307,1915,84.93,14.15,8.5721,176
48,1,48,25.0064,0.62,80,462.54,537.16,1265.82,1049.45,7.05,9.03,174.93,1915.28,7997.83,0.94,36.72,164.45,2028.19,7872.18,10.8936,0.02,308,1915,84.93,14.21,8.5909,175
49,1,49,10.0002,0.2515,20,489.05,604.45,1500.33,1312.4,10.52,15.49,394.89,2318.92,8775.97,1.26,45.43,371.69,2388.13,8125.47,8.6278,0.03,370,2319,100,28.56,17.1841,174
50,1,50,42.0064,0.8407,40,445,549.46,1348.73,1120.16,3.91,5.71,139.29,2211.8,8317.35,1.02,42.2,130.78,2387.88,8081.05,9.3799,0.02,330,2212,100,10.61,6.4017,173
51,1,51,25.0059,0.6207,80,462.54,537.44,1262.34,1048.85,7.05,9.03,175.34,1915.25,8003.72,0.94,36.75,164.57,2028.16,7868.46,10.8804,0.02,308,1915,84.93,14.34,8.4332,172
52,1,52,41.9984,0.8419,40,445,549.58,1349.36,1124.54,3.91,5.72,138.08,2211.87,8317.61,1.02,42.02,130.09,2387.9,8081.14,9.3482,0.02,332,2212,100,10.79,6.3244,171
53,1,53,24.9987,0.62,80,462.54,536.67,1263.28,1055.82,7.05,9.02,176.51,1915.28,8007.59,0.94,36.75,164.65,2028.11,7868.23,10.9078,0.02,308,1915,84.93,14.27,8.4892,170
54,1,54,35.0053,0.84,60,449.44,555.76,1363.69,1129.53,5.48,8,194.24,2222.85,8342.46,1.02,41.71,183.13,2387.95,8066.55,9.2739,0.02,334,2223,100,14.81,8.9262,169
55,1,55,42.003,0.8413,40,445,549.08,1346.64,1127.6,3.91,5.71,138.71,2211.8,8313.48,1.02,41.98,130.84,2387.88,8076.11,9.3383,0.02,329,2212,100,10.65,6.4609,168
56,1,56,42.0005,0.84,40,445,549.16,1358.49,1123.48,3.91,5.71,138.8,2211.81,8314.98,1.02,42.09,130.33,2387.86,8083.94,9.3664,0.02,331,2212,100,10.52,6.4191,167
57,1,57,10.0012,0.25,20,489.05,604.12,1499.74,1311.35,10.52,15.49,394.76,2318.93,8774.66,1.26,45.21,371.5,2388.12,8125.63,8.6596,0.03,371,2319,100,28.66,17.1513,166
58,1,58,35.0014,0.84,60,449.44,555.55,1366.71,1128.3,5.48,8,194.54,2222.89,8349.03,1.02,42.03,183.47,2388.02,8065.15,9.2953,0.02,334,2223,100,14.67,8.9319,165
59,1,59,10.0013,0.25,20,489.05,604.84,1499.35,1302.32,10.52,15.49,394.88,2319,8776.06,1.26,45.39,371.17,2388.13,8124.26,8.658,0.03,369,2319,100,28.57,17.1402,164
60,1,60,25.0007,0.6205,80,462.54,536.29,1258.32,1046.34,7.05,9.03,175.92,1915.27,7994.07,0.94,36.8,164.32,2028.12,7871.56,10.8864,0.02,306,1915,84.93,14.27,8.5942,163
61,1,61,25.0005,0.62,80,462.54,536.81,1260.04,1040.87,7.05,9.03,175.69,1915.32,8014.26,0.94,36.93,164.63,2028.13,7870.93,10.906,0.02,307,1915,84.93,14.08,8.4732,162
62,1,62,0.0012,2.00E-04,100,518.67,642.56,1589.91,1405.51,14.62,21.61,553.63,2388.05,9049.54,1.3,47.38,521.21,2388.08,8130.14,8.4294,0.03,393,2388,100,38.97,23.4194,161
63,1,63,42.0043,0.84,40,445,549.5,1352.27,1126.3,3.91,5.71,138.44,2211.85,8317.64,1.02,42.15,130.93,2387.87,8078.59,9.3442,0.02,331,2212,100,10.58,6.4123,160
64,1,64,25.0015,0.6208,80,462.54,536.71,1260.22,1045.97,7.05,9.02,175.52,1915.25,8010.99,0.94,36.68,164.59,2028.07,7867.69,10.8546,0.02,307,1915,84.93,14.26,8.5667,159
65,1,65,10.0046,0.251,20,489.05,604.91,1500.41,1313.21,10.52,15.49,394.77,2318.97,8773.89,1.26,45.48,371.2,2388.13,8124.24,8.6531,0.03,368,2319,100,28.49,17.0749,158
66,1,66,42.004,0.84,40,445,549.31,1349.87,1128.93,3.91,5.72,138.33,2211.78,8315.56,1.02,42.02,130.63,2387.89,8080.91,9.3698,0.02,331,2212,100,10.6,6.4504,157
67,1,67,24.9995,0.6211,80,462.54,536.7,1269.91,1050.78,7.05,9.03,175.48,1915.25,8014.04,0.94,36.77,164.33,2028.13,7865.65,10.9145,0.02,307,1915,84.93,14.27,8.4948,156
68,1,68,42.0005,0.8415,40,445,549.25,1352.08,1121.09,3.91,5.72,139.03,2211.88,8315.94,1.02,42.02,131.11,2387.91,8078,9.3809,0.02,330,2212,100,10.69,6.3684,155
69,1,69,42.0011,0.84,40,445,549.72,1348.82,1125.46,3.91,5.71,138.47,2211.82,8310.88,1.02,41.97,130.37,2387.9,8080,9.3532,0.02,330,2212,100,10.7,6.3223,154
70,1,70,25.0033,0.62,80,462.54,536.91,1256.88,1051.52,7.05,9.02,175.11,1915.25,8011.37,0.94,36.72,164.44,2028.14,7863.69,10.8577,0.02,305,1915,84.93,14.35,8.6743,153
71,1,71,35.0076,0.84,60,449.44,555.99,1359.31,1130.7,5.48,8,194.99,2222.81,8349.16,1.02,41.88,182.68,2387.94,8061.97,9.3437,0.02,333,2223,100,14.71,8.954,152
72,1,72,42.006,0.8403,40,445,549.93,1351.67,1126.2,3.91,5.71,139.07,2211.82,8317.14,1.02,42.09,130.8,2387.87,8078.7,9.3829,0.02,331,2212,100,10.48,6.434,151
73,1,73,41.998,0.84,40,445,549.14,1351.31,1120.2,3.91,5.71,138.08,2211.8,8321.28,1.02,42.19,130.45,2387.9,8075.93,9.3651,0.02,329,2212,100,10.67,6.3873,150
74,1,74,35.0054,0.84,60,449.44,555.13,1360.96,1127.22,5.48,8,194.38,2222.87,8340.55,1.02,42.06,182.92,2387.93,8062.64,9.2947,0.02,335,2223,100,14.68,8.7432,149
75,1,75,20.0072,0.702,0,491.19,607.25,1482.81,1248.39,9.35,13.66,334.53,2323.92,8717.78,1.08,44.28,314.92,2388.11,8058.31,9.206,0.02,366,2324,100,24.57,14.6982,148
76,1,76,20.0026,0.7009,0,491.19,607.14,1483.93,1250.76,9.35,13.66,334.73,2324.01,8717.13,1.08,44.42,315.12,2388.14,8054.93,9.2571,0.02,365,2324,100,24.53,14.748,147
77,1,77,35.0055,0.8406,60,449.44,555.89,1366.31,1128.67,5.48,8,195.01,2222.82,8344.84,1.02,41.93,182.86,2387.91,8062.76,9.3346,0.02,334,2223,100,14.9,8.9268,146
78,1,78,35.0024,0.8412,60,449.44,555.12,1365.46,1121.76,5.48,8,194.53,2222.85,8347.66,1.02,41.95,182.99,2387.98,8064.41,9.3172,0.02,334,2223,100,15.15,8.9178,145
79,1,79,41.9996,0.8415,40,445,549.51,1353.91,1117.26,3.91,5.72,138.64,2211.82,8320.6,1.02,42.02,130.33,2387.85,8079.09,9.3676,0.02,330,2212,100,10.63,6.396,144
80,1,80,42.0029,0.8413,40,445,549.91,1361.86,1126.25,3.91,5.72,138.44,2211.82,8314.04,1.02,42.19,130.49,2387.84,8075.12,9.3719,0.02,331,2212,100,10.68,6.3753,143
81,1,81,35.0014,0.8401,60,449.44,555.67,1366.7,1130.51,5.48,8,194.94,2222.88,8340.51,1.02,41.88,183.17,2387.93,8060.81,9.3501,0.02,333,2223,100,14.93,8.9352,142
82,1,82,35.0008,0.8416,60,449.44,555.58,1361.55,1130.46,5.48,8,194.51,2222.84,8348.36,1.02,41.98,182.76,2388,8065.79,9.3672,0.02,334,2223,100,14.84,8.8712,141
83,1,83,25.0027,0.6206,80,462.54,536.73,1258.32,1045.61,7.05,9.03,175.59,1915.24,8003.64,0.94,36.84,164.4,2028.14,7871.64,10.9091,0.02,306,1915,84.93,14.26,8.5331,140
84,1,84,42.0025,0.8403,40,445,549.78,1350.97,1129.54,3.91,5.71,138.97,2211.81,8316.64,1.02,41.95,130.65,2387.86,8075.87,9.3661,0.02,331,2212,100,10.58,6.3571,139
85,1,85,35.0049,0.84,60,449.44,556.1,1364.31,1129.86,5.48,8,194.23,2222.87,8350.52,1.02,41.7,182.7,2387.96,8059.64,9.3473,0.02,334,2223,100,14.93,8.9296,138
86,1,86,35.0043,0.84,60,449.44,555.71,1365.64,1130.92,5.48,8,194.29,2222.85,8350.21,1.02,41.87,182.67,2388.01,8061.58,9.3267,0.02,334,2223,100,14.68,8.9153,137
87,1,87,25.0046,0.6214,80,462.54,536.81,1265.37,1046.02,7.05,9.03,175.01,1915.3,8008.46,0.94,36.74,164.88,2028.12,7876.84,10.8608,0.02,306,1915,84.93,14.31,8.6195,136
88,1,88,41.9995,0.84,40,445,550.04,1348,1130.76,3.91,5.72,139.33,2211.77,8316.13,1.02,41.94,130.26,2387.9,8080.4,9.376,0.02,331,2212,100,10.62,6.3453,135
89,1,89,10.0057,0.2512,20,489.05,604.38,1500.89,1309.16,10.52,15.49,394.28,2318.93,8776.76,1.26,45.37,371.35,2388.12,8130.98,8.6302,0.03,372,2319,100,28.48,17.0763,134
90,1,90,0.0012,0,100,518.67,642.29,1587.81,1406.04,14.62,21.61,554.29,2388.11,9053.41,1.3,47.49,521.53,2388.1,8136.11,8.4231,0.03,393,2388,100,38.74,23.323,133
91,1,91,42.0035,0.841,40,445,549.72,1350.14,1122.78,3.91,5.72,138.72,2211.78,8319.5,1.02,42.22,130.56,2387.87,8078.45,9.3715,0.02,332,2212,100,10.62,6.3889,132
92,1,92,25.0066,0.6203,80,462.54,536.85,1262.92,1041.91,7.05,9.02,175.82,1915.29,8013.53,0.94,36.74,164.31,2028.17,7865.2,10.8906,0.02,306,1915,84.93,14.21,8.6321,131
93,1,93,19.9995,0.7017,0,491.19,607.2,1484.96,1250.94,9.35,13.66,335.09,2323.95,8719.79,1.08,44.45,315.23,2388.12,8054.85,9.2227,0.03,364,2324,100,24.31,14.6288,130
94,1,94,20.0017,0.7,0,491.19,607.13,1483.16,1255.13,9.35,13.65,334.77,2323.99,8721.5,1.08,44.43,315.12,2388.12,8057.8,9.2312,0.02,366,2324,100,24.49,14.6233,129
95,1,95,25.0076,0.6212,80,462.54,536.69,1260.79,1049.05,7.05,9.03,175.24,1915.29,8008.24,0.94,37.02,164.24,2028.13,7868.8,10.8922,0.02,307,1915,84.93,14.16,8.5706,128
96,1,96,42.0041,0.84,40,445,549.62,1355.53,1135.24,3.91,5.72,139.07,2211.83,8316.96,1.02,42.06,130.31,2387.84,8079.41,9.3488,0.02,330,2212,100,10.57,6.3318,127
97,1,97,1.00E-04,8.00E-04,100,518.67,642.8,1593.19,1412.7,14.62,21.61,553.77,2388.12,9050.71,1.3,47.55,521.67,2388.15,8138.44,8.4203,0.03,392,2388,100,38.73,23.2699,126
98,1,98,35.006,0.8416,60,449.44,556.15,1357.78,1130.59,5.48,8,193.99,2222.88,8347.97,1.02,41.89,183.06,2387.98,8066.59,9.3234,0.02,334,2223,100,14.76,8.8897,125
99,1,99,0.0029,0,100,518.67,642.71,1592.92,1407.92,14.62,21.61,553.58,2388.11,9054.47,1.3,47.62,521.36,2388.09,8130.6,8.447,0.03,394,2388,100,38.97,23.2554,124
100,1,100,20.0022,0.7,0,491.19,607.44,1486.82,1253.04,9.35,13.66,334.46,2323.95,8720.51,1.08,44.42,315,2388.11,8061.32,9.2295,0.02,366,2324,100,24.41,14.5674,123
101,1,101,9.9997,0.25,20,489.05,605.03,1500.23,1308.21,10.52,15.49,394.16,2318.93,8778.95,1.26,45.57,371.22,2388.13,8124.87,8.6503,0.03,369,2319,100,28.61,17.1063,122
102,1,102,10.0048,0.2517,20,489.05,604.59,1500.82,1308.26,10.52,15.49,394.38,2318.98,8773.95,1.26,45.48,371.54,2388.17,8122.71,8.6587,0.03,370,2319,100,28.47,17.2046,121
103,1,103,9.9996,0.25,20,489.05,604.43,1497.72,1307.89,10.52,15.49,394.49,2318.95,8778.23,1.26,45.48,371.69,2388.16,8127.62,8.6405,0.03,371,2319,100,28.56,17.1515,120
104,1,104,42.0075,0.8401,40,445,549.19,1360,1128.57,3.91,5.72,139.03,2211.83,8319.43,1.02,42.2,130.56,2387.88,8087.5,9.373,0.02,330,2212,100,10.54,6.3446,119
105,1,105,25,0.6205,80,462.54,537.11,1264.29,1048.02,7.05,9.02,176.33,1915.27,8011.37,0.94,36.57,164.58,2028.19,7868.97,10.9211,0.02,307,1915,84.93,14.32,8.5528,118
106,1,106,0.0028,0,100,518.67,642.99,1590.14,1402.01,14.62,21.61,553.97,2388.05,9047.73,1.3,47.53,521.55,2388.11,8133.19,8.4393,0.03,394,2388,100,38.86,23.335,117
107,1,107,42.0009,0.8412,40,445,550.09,1355.99,1128.91,3.91,5.72,139.04,2211.84,8316.56,1.02,42.02,130.68,2387.91,8080.49,9.371,0.02,330,2212,100,10.46,6.2805,116
108,1,108,42.0066,0.84,40,445,549.62,1357.86,1131.56,3.91,5.71,139.37,2211.82,8311.7,1.02,42.13,130.19,2387.9,8082.96,9.3786,0.02,330,2212,100,10.57,6.2698,115
109,1,109,20.0068,0.7013,0,491.19,607.71,1490.65,1252.71,9.35,13.66,334.5,2323.95,8719.98,1.08,44.35,315.01,2388.08,8059.83,9.2418,0.02,365,2324,100,24.55,14.5912,114
110,1,110,0.0013,0,100,518.67,642.8,1594.33,1403.71,14.62,21.61,553.66,2388.12,9053.96,1.3,47.42,521.42,2388.08,8134.1,8.4213,0.03,392,2388,100,38.74,23.3286,113
111,1,111,0.0029,0,100,518.67,643.39,1583.29,1407.76,14.62,21.61,553.13,2388.04,9051.72,1.3,47.59,521.59,2388.1,8140.99,8.4477,0.03,392,2388,100,38.92,23.327,112
112,1,112,42.0067,0.841,40,445,549.58,1354.55,1130.8,3.91,5.72,138.47,2211.84,8322.28,1.02,42.19,130.31,2387.9,8079.42,9.3916,0.02,331,2212,100,10.52,6.2911,111
113,1,113,20.0019,0.7,0,491.19,606.89,1486.36,1249.86,9.35,13.66,334.72,2323.91,8719.05,1.08,44.49,314.97,2388.11,8053.13,9.2605,0.02,366,2324,100,24.26,14.8251,110
114,1,114,25.0005,0.62,80,462.54,536.16,1267.57,1050.13,7.05,9.02,175.78,1915.34,8006.23,0.94,36.71,164.67,2028.2,7873.22,10.9281,0.02,307,1915,84.93,14.31,8.5116,109
115,1,115,24.9994,0.62,80,462.54,536.45,1267.62,1047.23,7.05,9.03,175.46,1915.26,8003.81,0.94,36.67,164.7,2028.14,7866.89,10.8761,0.02,308,1915,84.93,14.17,8.456,108
116,1,116,25.0022,0.62,80,462.54,537.04,1260.39,1053.2,7.05,9.03,175.41,1915.27,8009.8,0.94,36.64,164.09,2028.18,7870.05,10.9322,0.02,307,1915,84.93,14.28,8.6131,107
117,1,117,42.0011,0.8411,40,445,549.4,1359.1,1125.33,3.91,5.71,138.25,2211.82,8322.19,1.02,42.19,130.48,2387.85,8084.55,9.3907,0.02,333,2212,100,10.6,6.3924,106
118,1,118,10.0023,0.25,20,489.05,605.09,1491.66,1311.73,10.52,15.5,394.12,2319.01,8777.26,1.26,45.49,371.28,2388.22,8130.07,8.6362,0.03,370,2319,100,28.53,17.1594,105
119,1,119,20.0069,0.7018,0,491.19,607.4,1486.79,1253.69,9.35,13.66,335.16,2324,8729.48,1.07,44.33,314.85,2388.08,8063.08,9.2365,0.02,366,2324,100,24.39,14.6209,104
120,1,120,42.0042,0.84,40,445,549.54,1359.63,1135.55,3.91,5.71,138.66,2211.88,8322.68,1.02,42.09,130.89,2387.89,8078.75,9.3858,0.02,331,2212,100,10.52,6.2681,103
121,1,121,25.0048,0.6214,80,462.54,536.73,1259.21,1050.36,7.05,9.03,175.78,1915.26,8004.19,0.94,36.94,164.69,2028.17,7870.03,10.8887,0.02,307,1915,84.93,14.18,8.646,102
122,1,122,9.9987,0.25,20,489.05,605.05,1497.7,1311.02,10.52,15.49,394.48,2319.02,8773.74,1.26,45.43,371.35,2388.25,8129.34,8.691,0.03,370,2319,100,28.41,17.2078,101
123,1,123,0.0029,9.00E-04,100,518.67,642.68,1582.97,1407.34,14.62,21.61,552.76,2388.13,9049.5,1.3,47.53,521.28,2388.15,8136.16,8.4425,0.03,391,2388,100,38.91,23.2894,100
124,1,124,25.0022,0.62,80,462.54,537.05,1263.04,1049.81,7.05,9.03,175.02,1915.29,8009.45,0.94,36.92,164.43,2028.15,7874.06,10.8803,0.02,307,1915,84.93,14.2,8.573,99
125,1,125,24.9987,0.62,80,462.54,536.81,1261.01,1053.15,7.05,9.02,175.54,1915.26,8006.61,0.94,36.76,164.6,2028.13,7875.02,10.9287,0.02,307,1915,84.93,14.31,8.4927,98
126,1,126,20.0063,0.7,0,491.19,608,1477.41,1250.98,9.35,13.66,334.66,2323.99,8715.79,1.08,44.29,314.37,2388.11,8061.03,9.1992,0.02,365,2324,100,24.39,14.5678,97
127,1,127,42.0018,0.8405,40,445,549.54,1355.51,1132.24,3.91,5.72,138.03,2211.8,8322.45,1.02,42.24,131.08,2387.83,8084.16,9.3919,0.02,331,2212,100,10.44,6.2461,96
128,1,128,35.0033,0.84,60,449.44,555.24,1369.75,1136.98,5.48,8,193.75,2222.91,8351.3,1.02,41.87,183.19,2387.94,8064.23,9.3102,0.02,334,2223,100,14.88,8.9482,95
129,1,129,10.002,0.2505,20,489.05,605.23,1504.01,1316.44,10.52,15.49,394.28,2319.02,8773.2,1.26,45.59,371.81,2388.18,8126.82,8.6746,0.03,370,2319,100,28.5,17.2131,94
130,1,130,4.00E-04,0,100,518.67,643.08,1584.72,1413.33,14.62,21.61,553.13,2388.15,9054.13,1.3,47.55,521.19,2388.14,8134.82,8.4684,0.03,393,2388,100,38.65,23.2824,93
